fips,total_cases,fips,total_death
20187,34040,20187,494
20189,101036,20189,969
20191,280790,20191,3782
20193,172153,20193,1777
20195,59067,20195,695
20197,93891,20197,1556
20199,28309,20199,4
20201,73806,20201,1240
20203,32039,20203,6
20205,124397,20205,1609
20207,27444,20207,5
20209,3556682,20209,57986
21001,278405,21001,10953
21003,275574,21003,4898
21005,215239,21005,1768
21007,51860,21007,737
21009,601052,21009,9408
21011,106751,21011,1970
21013,409167,21013,6252
21015,1808337,21015,14590
21017,214353,21017,1507
21019,630496,21019,7791
21021,429404,21021,4029
21023,67633,21023,670
21025,125329,21025,758
21027,152744,21027,1476
21029,921384,21029,7893
21031,228304,21031,5806
21033,186603,21033,2836
21035,511736,21035,5854
21037,1097892,21037,9943
21039,65551,21039,627
21041,136117,21041,2027
21043,277414,21043,3048
21045,198163,21045,6275
21047,966979,21047,13590
21049,344433,21049,4063
21051,347287,21051,3967
21053,187944,21053,3830
21055,83301,21055,1837
21057,96080,21057,1028
21059,1367518,21059,21787
21061,133125,21061,4630
21063,141331,21063,189
21065,141423,21065,411
21067,5222030,21067,40809
21069,145244,21069,1462
21071,402436,21071,4668
21073,518953,21073,5592
21075,82667,21075,1301
21077,95834,21077,3765
21079,199000,21079,2014
21081,286796,21081,2785
21083,604713,21083,14507
21085,300980,21085,8260
21087,172253,21087,2770
21089,465626,21089,4665
21091,109445,21091,2208
21093,1293928,21093,13736
21095,348888,21095,8274
21097,204192,21097,1224
21099,261791,21099,3605
21101,657503,21101,10283
21103,178262,21103,1260
21105,50998,21105,1008
21107,610868,21107,24379
21109,203270,21109,6751
21111,11779068,21111,176636
21113,598086,21113,7751
21115,243055,21115,2783
21117,2155680,21117,25670
21119,157500,21119,2590
21121,427536,21121,3427
21123,176200,21123,1866
21125,838998,21125,5055
21127,161292,21127,1733
21129,176774,21129,3009
21131,105928,21131,401
21133,224007,21133,2693
21135,164622,21135,5417
21137,286078,21137,6006
21139,103611,21139,2082
21141,398827,21141,11079
21143,111923,21143,2468
21145,854458,21145,10693
21147,235468,21147,2686
21149,119963,21149,3644
21151,1267240,21151,10222
21153,129189,21153,582
21155,308736,21155,4252
21157,348644,21157,5883
21159,132164,21159,2101
21161,189793,21161,3504
21163,259055,21163,2203
21165,53869,21165,1231
21167,308753,21167,3512
21169,132753,21169,2558
21171,192644,21171,5068
21173,319519,21173,3290
21175,228147,21175,129
21177,494635,21177,9050
21179,643398,21179,4879
21181,63299,21181,914
21183,364973,21183,6964
21185,969243,21185,12049
21187,87009,21187,1247
21189,61594,21189,1393
21191,128078,21191,221
21193,338693,21193,5493
21195,680201,21195,8126
21197,140608,21197,324
21199,812325,21199,11716
21201,26311,21201,1427
21203,191272,21203,1968
21205,270120,21205,1374
21207,249864,21207,6360
21209,603212,21209,4984
21211,706763,21211,9768
21213,254662,21213,4425
21215,213213,21215,1287
21217,382442,21217,4797
21219,149229,21219,3665
21221,153656,21221,1002
21223,81098,21223,412
21225,202316,21225,1998
21227,2448275,21227,22817
21229,185302,21229,3266
21231,279992,21231,4704
21233,172796,21233,2580
21235,576074,21235,3434
21237,60317,21237,529
21239,280622,21239,1037
22001,1235023,22001,38570
22003,617413,22003,18441
22005,1951902,22005,36567
22007,374100,22007,8436
22009,686609,22009,22371
22011,490409,22011,13656
22013,280169,22013,15294
22015,2087300,22015,49447
22017,4455991,22017,150139
22019,3565600,22019,76691
22021,189111,22021,3669
22023,97791,22023,878
22025,201199,22025,5845
22027,245711,22027,9789
22029,303201,22029,9165
22031,464393,22031,14682
22033,6756024,22033,171714
22035,238804,22035,3346
22037,595218,22037,24700
22039,597517,22039,13741
22041,505879,22041,18796
22043,313958,22043,9883
22045,1239241,22045,33845
22047,684918,22047,22968
22049,325084,22049,9997
22051,8544765,22051,227238
22053,552745,22053,16396
22055,4027899,22055,51161
22057,1665689,22057,47457
22059,248315,22059,5300
22061,732057,22061,18434
22063,2069417,22063,34154
22065,326385,22065,5123
22067,454741,22067,11556
22069,655856,22069,14454
